DATE,GASDESW
2016-05-02,2.266
2016-05-09,2.271
2016-05-16,2.297
2016-05-23,2.357
2016-05-30,2.382
2016-06-06,2.407
2016-06-13,2.431
2016-06-20,2.426
2016-06-27,2.426
2016-07-04,2.423
2016-07-11,2.414
2016-07-18,2.402
2016-07-25,2.379
2016-08-01,2.348
2016-08-08,2.316
2016-08-15,2.310
2016-08-22,2.370
2016-08-29,2.409
2016-09-05,2.407
2016-09-12,2.399
2016-09-19,2.389
2016-09-26,2.382
2016-10-03,2.389
2016-10-10,2.445
2016-10-17,2.481
2016-10-24,2.478
2016-10-31,2.479
2016-11-07,2.470
2016-11-14,2.443
2016-11-21,2.421
2016-11-28,2.420
2016-12-05,2.480
2016-12-12,2.493
2016-12-19,2.527
2016-12-26,2.540
2017-01-02,2.586
2017-01-09,2.597
2017-01-16,2.585
2017-01-23,2.569
2017-01-30,2.562
2017-02-06,2.558
2017-02-13,2.565
2017-02-20,2.572
2017-02-27,2.577
2017-03-06,2.579
2017-03-13,2.564
2017-03-20,2.539
2017-03-27,2.532
2017-04-03,2.556
2017-04-10,2.582
2017-04-17,2.597
2017-04-24,2.595
2017-05-01,2.583
2017-05-08,2.565
2017-05-15,2.544
2017-05-22,2.539
2017-05-29,2.571
2017-06-05,2.564
2017-06-12,2.524
2017-06-19,2.489
2017-06-26,2.465
2017-07-03,2.472
2017-07-10,2.481
2017-07-17,2.491
2017-07-24,2.507
2017-07-31,2.531
2017-08-07,2.581
2017-08-14,2.598
2017-08-21,2.596
2017-08-28,2.605
2017-09-04,2.758
2017-09-11,2.802
2017-09-18,2.791
2017-09-25,2.788
2017-10-02,2.792
2017-10-09,2.776
2017-10-16,2.787
2017-10-23,2.797
2017-10-30,2.819
2017-11-06,2.882
2017-11-13,2.915
2017-11-20,2.912
2017-11-27,2.926
2017-12-04,2.922
2017-12-11,2.91
2017-12-18,2.901
2017-12-25,2.903
2018-01-01,2.973
2018-01-08,2.996
2018-01-15,3.028
2018-01-22,3.025
2018-01-29,3.07
2018-02-05,3.086
2018-02-12,3.063
2018-02-19,3.027
2018-02-26,3.007
2018-03-05,2.992
2018-03-12,2.976
2018-03-19,2.972
2018-03-26,3.01
2018-04-02,3.042
2018-04-09,3.043
2018-04-16,3.104
2018-04-23,3.133
2018-04-30,3.157
2018-05-07,3.171
2018-05-14,3.239
2018-05-21,3.277
2018-05-28,3.288
2018-06-04,3.285
2018-06-11,3.266
2018-06-18,3.244
2018-06-25,3.216
2018-07-02,3.236
2018-07-09,3.243
2018-07-16,3.239
2018-07-23,3.22
2018-07-30,3.226
2018-08-06,3.223
2018-08-13,3.217
2018-08-20,3.207
2018-08-27,3.226
2018-09-03,3.252
2018-09-10,3.258
2018-09-17,3.268
2018-09-24,3.271
2018-10-01,3.313
2018-10-08,3.385
2018-10-15,3.394
2018-10-22,3.38
2018-10-29,3.355
2018-11-05,3.338
2018-11-12,3.317
2018-11-19,3.282
2018-11-26,3.261
2018-12-03,3.207
2018-12-10,3.161
2018-12-17,3.121
2018-12-24,3.077
2018-12-31,3.048
2019-01-07,3.013
2019-01-14,2.976
2019-01-21,2.965
2019-01-28,2.965
2019-02-04,2.966
2019-02-11,2.966
2019-02-18,3.006
2019-02-25,3.048
2019-03-04,3.076
2019-03-11,3.079
2019-03-18,3.07
2019-03-25,3.08
2019-04-01,3.078
2019-04-08,3.093
2019-04-15,3.118
2019-04-22,3.147
2019-04-29,3.169
2019-05-06,3.171
2019-05-13,3.16
2019-05-20,3.163
2019-05-27,3.151
2019-06-03,3.136
2019-06-10,3.105
2019-06-17,3.07
2019-06-24,3.043
2019-07-01,3.042
2019-07-08,3.055
2019-07-15,3.051
2019-07-22,3.044
2019-07-29,3.034
2019-08-05,3.032
2019-08-12,3.011
2019-08-19,2.994
2019-08-26,2.983
2019-09-02,2.976
2019-09-09,2.971
2019-09-16,2.987
2019-09-23,3.081
2019-09-30,3.066
2019-10-07,3.047
2019-10-14,3.051
2019-10-21,3.05
2019-10-28,3.064
2019-11-04,3.062
2019-11-11,3.073
2019-11-18,3.074
2019-11-25,3.066
2019-12-02,3.07
2019-12-09,3.049
2019-12-16,3.046
2019-12-23,3.041
2019-12-30,3.069
2020-01-06,3.079
2020-01-13,3.064
2020-01-20,3.037
2020-01-27,3.01
2020-02-03,2.956
2020-02-10,2.91
2020-02-17,2.89
2020-02-24,2.882
2020-03-02,2.851
2020-03-09,2.814
2020-03-16,2.733
2020-03-23,2.659
2020-03-30,2.586
2020-04-06,2.548
2020-04-13,2.507
2020-04-20,2.48
2020-04-27,2.437
2020-05-04,2.399
2020-05-11,2.394
2020-05-18,2.386
2020-05-25,2.39
2020-06-01,2.386
2020-06-08,2.396
2020-06-15,2.403
2020-06-22,2.425
2020-06-29,2.43
2020-07-06,2.437
2020-07-13,2.438
2020-07-20,2.433
2020-07-27,2.427
2020-08-03,2.424
2020-08-10,2.428
2020-08-17,2.427
2020-08-24,2.426
2020-08-31,2.441
2020-09-07,2.435
2020-09-14,2.422
2020-09-21,2.404
2020-09-28,2.394
2020-10-05,2.387
2020-10-12,2.395
2020-10-19,2.388
2020-10-26,2.385
2020-11-02,2.372
2020-11-09,2.383
2020-11-16,2.441
2020-11-23,2.462
2020-11-30,2.502
2020-12-07,2.526
2020-12-14,2.559
2020-12-21,2.619
2020-12-28,2.635
2021-01-04,2.64
2021-01-11,2.67
2021-01-18,2.696
2021-01-25,2.716
2021-02-01,2.738
2021-02-08,2.801
2021-02-15,2.876
2021-02-22,2.973
2021-03-01,3.072
2021-03-08,3.143
2021-03-15,3.191
2021-03-22,3.194
2021-03-29,3.161
2021-04-05,3.144
2021-04-12,3.129
2021-04-19,3.124
2021-04-26,3.124
2021-05-03,3.142
2021-05-10,3.186
2021-05-17,3.249
2021-05-24,3.253
2021-05-31,3.255
2021-06-07,3.274
2021-06-14,3.286
2021-06-21,3.287
2021-06-28,3.3
2021-07-05,3.331
2021-07-12,3.338
2021-07-19,3.344
2021-07-26,3.342
2021-08-02,3.367
2021-08-09,3.364
2021-08-16,3.356
2021-08-23,3.324
2021-08-30,3.339
2021-09-06,3.373
2021-09-13,3.372
2021-09-20,3.385
2021-09-27,3.406
2021-10-04,3.477
2021-10-11,3.586
2021-10-18,3.671
2021-10-25,3.713
2021-11-01,3.727
2021-11-08,3.73
2021-11-15,3.734
2021-11-22,3.724
2021-11-29,3.72
2021-12-06,3.674
